day,hole,time,temperature,humidity,light,pH,EC,TDS,WaterTemp,Label,LeafCount
1,1,9.19,26.8,72,17820,7.1,918,459,26.1,Selada,3
1,2,9.23,26.6,72,16490,7.1,918,459,26.1,Selada,3
1,3,9.27,26.4,72,15160,7.1,915,454,26.1,Selada,3
1,4,9.31,26.2,72,13830,7.1,915,457,26.1,Selada,3
1,5,9.35,26.2,72,12500,7.1,918,461,26.1,Selada,4
1,1,9.39,26.9,72,11170,7.1,1252,626,26.1,Selada,4
1,2,9.43,26.8,72,19840,7.1,1201,600,26.1,Selada,4
1,3,9.47,26.8,72,18510,7.1,1255,621,26.1,Selada,3
1,4,9.51,26.2,72,17180,7.1,1254,627,26.1,Selada,3
1,5,9.55,26.9,72,15850,7.1,1284,644,26.1,Selada,4
1,1,11.52,27.1,55,50020,7.3,926,483,31.5,Selada,3
1,2,11.57,27.3,55,51940,7.3,926,459,31.5,Selada,3
1,3,12.03,27.5,55,53860,7.3,921,464,31.5,Selada,3
1,4,12.08,27.7,55,55780,7.3,922,463,31.5,Selada,3
1,5,12.13,27.9,55,57700,7.3,929,464,31.5,Selada,4
1,1,12.18,27.1,55,59620,7.3,1252,626,31.5,Selada,4
1,2,12.23,27.3,55,51540,7.3,1254,627,31.5,Selada,4
1,3,12.28,27.5,55,53460,7.3,1256,628,31.5,Selada,3
1,4,12.33,27.7,55,55380,7.3,1258,629,31.5,Selada,3
1,5,12.38,27.9,55,57300,7.3,1260,630,31.5,Selada,4
1,1,14.13,27.9,44,36580,7.4,970,485,32.6,Selada,3
1,2,14.16,27.1,44,39660,7.4,967,482,32.6,Selada,3
1,3,14.19,27.3,44,32740,7.4,964,482,32.6,Selada,3
1,4,14.22,27.5,44,35820,7.4,967,483,32.6,Selada,3
1,5,14.25,27.7,44,38900,7.4,970,485,32.6,Selada,4
1,1,14.28,27.9,44,31980,7.4,1255,621,32.6,Selada,4
1,2,14.31,27.8,44,35060,7.4,1258,629,32.6,Selada,4
1,3,14.34,27.6,44,38140,7.4,1261,631,32.6,Selada,3
1,4,14.37,27.4,44,31220,7.4,1264,632,32.6,Selada,3
1,5,14.41,27.2,44,34300,7.4,1267,633,32.6,Selada,4
1,1,16.17,25.1,54,57810,7.1,953,463,31.2,Selada,3
1,2,16.21,25.3,54,57120,7.1,952,476,31.2,Selada,3
1,3,16.25,25.5,54,56430,7.1,952,459,31.2,Selada,3
1,4,16.29,25.7,54,55740,7.1,967,483,31.2,Selada,3
1,5,16.33,25.9,54,55050,7.1,952,478,31.2,Selada,4
1,1,16.37,25.5,54,54360,7.1,1261,633,31.2,Selada,4
1,2,16.41,25.7,54,53670,7.1,1260,630,31.2,Selada,4
1,3,16.45,25.1,54,52980,7.1,1259,625,31.2,Selada,3
1,4,16.49,25.3,54,52290,7.1,1258,624,31.2,Selada,3
1,5,16.53,25.9,54,51600,7.1,1257,624,31.2,Selada,4
2,1,9.28,29.8,72,16210,7.3,987,499,23.9,Selada,3
2,2,9.29,29.6,72,15230,7.3,983,493,23.9,Selada,3
2,3,9.31,29.4,72,14250,7.3,984,492,23.9,Selada,3
2,4,9.32,29.2,72,13270,7.3,985,493,23.9,Selada,3
2,5,9.33,29.2,72,12290,7.3,986,493,23.9,Selada,4
2,1,9.34,29.9,72,11310,7.3,1261,631,23.9,Selada,4
2,2,9.36,29.8,72,10330,7.3,1264,632,23.9,Selada,4
2,3,9.39,29.8,72,19350,7.3,1267,633,23.9,Selada,3
2,4,9.42,29.2,72,18370,7.3,1261,633,23.9,Selada,3
2,5,9.29,29.2,72,17390,7.3,1260,630,23.9,Selada,4
2,1,11.56,30.8,55,44630,7.5,976,490,30.4,Selada,3
2,2,11.58,30.2,55,45510,7.5,972,486,30.4,Selada,3
2,3,12.01,30.6,55,46390,7.5,976,488,30.4,Selada,3
2,4,12.03,30.1,55,47270,7.5,972,486,30.4,Selada,3
2,5,12.05,30.8,55,48150,7.5,976,488,30.4,Selada,4
2,1,12.07,30.9,55,49030,7.5,1255,621,30.4,Selada,4
2,2,12.09,30.5,55,49910,7.5,1258,629,30.4,Selada,4
2,3,12.11,30.7,55,40790,7.5,1259,625,30.4,Selada,3
2,4,12.13,30.7,55,41670,7.5,1258,624,30.4,Selada,3
2,5,12.15,30.1,55,42550,7.5,1257,624,30.4,Selada,4
2,1,14.06,29.8,45,54130,7.2,960,480,31.5,Selada,3
2,2,14.09,29.6,45,55220,7.2,964,483,31.5,Selada,3
2,3,14.12,29.4,45,56310,7.2,966,483,31.5,Selada,3
2,4,14.15,29.2,45,57400,7.2,968,484,31.5,Selada,3
2,5,14.18,29.2,45,58490,7.2,970,485,31.5,Selada,4
2,1,14.21,29.9,45,59580,7.2,1254,627,31.5,Selada,4
2,2,14.24,29.8,45,50670,7.2,1284,644,31.5,Selada,4
2,3,14.27,29.8,45,51760,7.2,1252,626,31.5,Selada,3
2,4,14.31,29.2,45,52850,7.2,1254,627,31.5,Selada,3
2,5,14.33,29.2,45,53940,7.2,1256,628,31.5,Selada,4
2,1,16.11,28.8,54,10900,7.1,908,454,32.6,Selada,3
2,2,16.14,28.6,54,14890,7.1,905,462,32.6,Selada,3
2,3,16.17,28.4,54,18880,7.1,900,450,32.6,Selada,3
2,4,16.21,28.2,54,12870,7.1,900,449,32.6,Selada,3
2,5,16.23,28.2,54,16860,7.1,900,449,32.6,Selada,4
2,1,16.26,28.9,54,10850,7.1,1252,626,32.6,Selada,4
2,2,16.29,28.8,54,14840,7.1,1201,600,32.6,Selada,4
2,3,16.31,28.8,54,18830,7.1,1255,621,32.6,Selada,3
2,4,16.33,28.2,54,12820,7.1,1258,629,32.6,Selada,3
2,5,16.35,28.2,54,16810,7.1,1260,630,32.6,Selada,4
3,1,8.55,26.8,72,17820,7,920,460,26.1,Selada,3
3,2,8.57,26.6,72,16490,7,926,483,26.1,Selada,3
3,3,8.59,26.4,72,15160,7,926,459,26.1,Selada,3
3,4,9.02,26.2,72,13830,7,921,464,26.1,Selada,3
3,5,9.03,26.2,72,12500,7,922,463,26.1,Selada,4
3,1,9.04,26.9,72,11170,7,1389,678,26.1,Selada,4
3,2,9.05,26.8,72,19840,7,1380,679,26.1,Selada,4
3,3,9.06,26.8,72,18510,7,1377,668,26.1,Selada,3
3,4,9.07,26.2,72,17180,7,1380,679,26.1,Selada,3
3,5,9.08,26.9,72,15850,7,1392,690,26.1,Selada,4
3,1,11.51,30.8,55,44630,7.1,977,488,30.4,Selada,3
3,2,11.53,30.2,55,45510,7.1,970,485,30.4,Selada,3
3,3,11.55,30.6,55,46390,7.1,967,482,30.4,Selada,3
3,4,11.57,30.1,55,47270,7.1,964,482,30.4,Selada,3
